project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2003123,CTCAJ103744,CTCAJ10,-77.272572,3.526149,2014-10-24 00:00:00,2014-12-04 00:00:00,None,,None,,2005236,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ033779,CTCAJ03,-77.262527,3.529033,2014-10-22 00:00:00,2014-12-08 00:00:00,None,,None,,2005229,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ163747,CTCAJ16,-77.26682,3.549598,2014-10-25 00:00:00,2014-12-08 00:00:00,None,,None,,2005242,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ193741,CTCAJ19,-77.232767,3.518382,2014-10-25 00:00:00,2014-12-08 00:00:00,None,,None,,2005244,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ083775,CTCAJ08,-77.265687,3.517793,2014-10-24 00:00:00,2014-12-08 00:00:00,None,,None,,2005234,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ123777,CTCAJ12,-77.268014,3.495466,2014-10-24 00:00:00,2014-12-08 00:00:00,None,,None,,2005238,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ143748,CTCAJ14,-77.264586,3.487085,2014-10-24 00:00:00,2014-12-08 00:00:00,None,,None,,2005240,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ133746,CTCAJ13,-77.264586,3.487085,2014-10-26 00:00:00,2014-12-08 00:00:00,None,,None,,2005239,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ073781,CTCAJ07,-77.244478,3.502379,2014-10-25 00:00:00,2014-12-08 00:00:00,None,,None,,2005233,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ183778,CTCAJ18,-77.240829,3.522902,2014-10-25 00:00:00,2014-12-08 00:00:00,None,,None,,2005243,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ093776,CTCAJ09,-77.266945,3.507583,2014-10-24 00:00:00,2014-12-06 00:00:00,None,,None,,2005235,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ113742,CTCAJ11,-77.259019,3.502055,2014-10-25 00:00:00,2014-12-12 00:00:00,None,,None,,2005237,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ153745,CTCAJ15,-77.253235,3.49623,2014-10-27 00:00:00,2014-12-08 00:00:00,None,,None,,2005241,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ043772,CTCAJ04,-77.263896,3.541175,2014-10-23 00:00:00,2014-12-08 00:00:00,None,,None,,2005230,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ063750,CTCAJ06,-77.251785,3.508987,2014-10-23 00:00:00,2014-12-08 00:00:00,None,,None,,2005232,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ023749,CTCAJ02,-77.247525,3.536315,2014-10-22 00:00:00,2014-12-08 00:00:00,None,,None,,2005228,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ053782,CTCAJ05,-77.252343,3.526541,2014-10-26 00:00:00,2014-12-08 00:00:00,None,,None,,2005231,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ013743,CTCAJ01,-77.256113,3.536113,2014-10-22 00:00:00,2014-12-08 00:00:00,None,,None,,2005227,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido
2003123,CTCAJ143747,CTCAJ14,-77.264586,3.487085,2014-10-24 00:00:00,2014-12-08 00:00:00,None,,None,,2005240,0,Camera Functioning,Knee height,,Parallel,,,,,,,,,,Angélica Díaz-Pulido